"id","top","left","width","height","note_title","note_body"
"3","818","482","5","5","Western Safari Zone","{""blocks"":[{""key"":""ep9o8"",""text"":""Habitats: Cave, Sea, Rugged, Waters Edge."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"2","656","658","5","5","Ranchfield","{""blocks"":[{""key"":""94kdq"",""text"":""Gym Leader: Chadsworth Boone Mcdune Senior"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""1cm28"",""text"":""Type: Normal/Ground"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""cbvfm"",""text"":""Teams that have defeated Boone:"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""cn3c3"",""text"":""Team Legendary"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""94mvk"",""text"":""Team Super Effective"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""7gimu"",""text"":""Team Titans"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""6mtkp"",""text"":""Team Swole"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""d2gdf"",""text"":""Team Shaolin"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""3i9ej"",""text"":""Team Mind-Freek"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""a4f84"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""42de3"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""cm83"",""text"":""Ranchfield is home to Moo-Moo Milk Co. the best selling milk on the Island. Besides being the towns gym leader, Chadworth Boone Mcdune is also the C.E.O. of Moo-Moo Milk Co. and, as of last year, also the Mayor of Ranchfield."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""a0afa"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2htvj"",""text"":""He is known as Mayor Boone, Mr. Boone, or sometimes... When hes introducing himself to the ladies.... \""The Milk Man\""..."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"4","641","302","5","5","Cincedy City","{""blocks"":[{""key"":""c8ca2"",""text"":""The town that never sleeps. Home to the 'Wammapoke Casino & Resort' and known as the town where ANYTHING can be bought for the right price. Points of interest:"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""usep"",""text"":""- Wamapoke Resort: gambling facility and 5start resort."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""bmng9"",""text"":""- Eeveelution: Eevee breeding center."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""7l9pe"",""text"":""- Pokeland: Amusement Park/Carnival."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4tm6s"",""text"":""- Thunder Dome: Trainers sign up and battle for expensive prizes."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""9m5i7"",""text"":""- Adems' Family Haunted House."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"5","624","464","5","5","Old Ghost Town","{""blocks"":[{""key"":""aiklj"",""text"":""\""Old West Town\"" was an attraction/resort town modeled after the \""old west\"" time period."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""7i952"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""57s9p"",""text"":""It was opened 10 years ago, and was a booming tourist attraction for 5 years untill the tragedy."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2cjsf"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2dsvh"",""text"":""The \""BFPP Disaster\"" up the mountainside caused a rain of rubble as well as a rampaging pokemon stampede to tear through the town. "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""av42h"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""1e6ml"",""text"":""Many lives were lost, and the town was overrun with ghost pokemon drawn to the haunted spirits left behind by the tragedy."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""cuab8"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""6mdkp"",""text"":""Since then, the town signs have been vandalized to read \""Old Ghost Town\""."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""303q2"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2jk9c"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"6","562","528","5","5","BFPP Ruins","{""blocks"":[{""key"":""2rnss"",""text"":""Huge Raichu"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""fueau"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""6as2f"",""text"":""Ben Franklin Power Plant. "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""cid4f"",""text"":""This company was the first name in Electricity in the Rhymica Region."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""1bm5"",""text"":""It was constructed on Mt. Thunder because of the abundance of electric Pokemon, who are drawn there by the presence of Zapdos that have long made their home on the peak. "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""dcbo5"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""dpiqf"",""text"":""5 years ago, it was those Zapdos that were the cause of the BFPP Disaster."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""frprv"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""b705q"",""text"":""A first Zapdos was seen flying down the mountain range, raining bolts of lightning down all around in what seemed to be a blind rage. As the Zapdos got close to the BFPP a second Zapdos came flying around from the Mountain and the two began an epic battle of Thunder and Lightning above the BFPP, until finally tackling each other into the facility's generators causing the huge electric explosion that would start an avalanche down below, destroying Old West Town."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""8c9e8"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""b5ha0"",""text"":""The owner and manager of the plant, Roger Franklin,  was so enthralled watching the Zapdos duel from the start... That he didnt order any safety protocols or call for an evacuation, And in fact, as the Zapdos flew away from the plant continuing their battle, he mounted his Zebstrika and tore off after them."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""6kukg"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4gomi"",""text"":""The lives and money lost that day were put soley on the shoulders of Mr. Franklin for leaving his employees to their fate. "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""fip0t"",""text"":""When he returned later that night, he was ranting and raving, covered in electrical burns. He was clearly left scarred by his encounter, and kept Insisting that he didnt \""RUN AWAY\"" he just Had to follow the duel because, he claimed, \""one of them was Not a Zapdos, but something else!\"" "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""38ubg"",""text"":""The press ridiculed him, for trying to make up nonsense to excuse his failing, and he was ostracized overnight."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""q39v"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""8dfn1"",""text"":""It was then that Vox Industries moved into the Rhymica region, using its enormous wealth to settle the debts from the disaster and commision a new Vox Industries Power Plant in Sweethome  ."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""fpdel"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""99cqq"",""text"":""Now the old BFPP lies in ruins, home to the electric pokemon who survived the explosion."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2l"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""2qpi9"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4dpbb"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"7","483","146","5","5","Orra'gon","{""blocks"":[{""key"":""e4nik"",""text"":""All the hipsters."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""5uo1b"",""text"":""All of them..."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""ftfaa"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""dmtie"",""text"":""The nearby Orra'gon River is contaminated and quarantined."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""p4uf"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""c05v8"",""text"":""  -News Snipet-"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""7g24i"",""text"":""\""At first it was just discolored pokemon, then oddly mutated pokemon... And now.... Fatally ill pokemon.."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""d03nl"",""text"":""Reports released say that upon inspection it has been revealed that these pokemon are not only physically off, but many of them are very very sick.. Most of them that are taken from the river for testing.. Are passing away before any diagnosis can be made....\"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"8","431","432","5","5","Pinevale Town","{""blocks"":[{""key"":""31iba"",""text"":""A sleep little town, its only defining feature is as the western end of the Monorail."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""54ibe"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""9ud1b"",""text"":""Suspicious building outside Pinevale. Men in trench coats work there."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"0","705","995","5","5","Central City","{""blocks"":[{""key"":""bshje"",""text"":""This is Central City, the biggest city in the Raimica Region. Where it all started!"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""a5ofl"",""text"":""Home of Davey."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""b0q5c"",""text"":""Last known location of Roger Franklin, ex-owner of BFPP."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"1","912","336","5","5","Boardwalk City","{""blocks"":[{""key"":""q7n9"",""text"":""🗝Gym🗝... A city known for its water sports and beach vibe culture."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""dbjpd"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""dsfi4"",""text"":""Teams that have defeated Bru:"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""fjprt"",""text"":""Most of them..."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
"12","338","691","5","5","Stonecrush City","{""blocks"":[{""key"":""11kg5"",""text"":""🗝Gym🗝  Prof Arthur Tinn- expert in the field of Psychic and Fairy type pokemon."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4lrnf"",""text"":""Teams that have defeated Arthur:"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""5n4ll"",""text"":""Team Super Effective"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""ei5qc"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""37f05"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4ap6a"",""text"":""This city is the prime source of precious stone, gems, etc.. for the region."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""64kra"",""text"":""Stonecrush sits at the bottom of Mount Glitterpath (the tallest peak at the intersection of the 2 mountain ranges).  This mountain is named for its abundance of Pokemon Evolution Stone geodes. It is said that you cant hike to the top without finding At Least 1, wether in a geode formation,... or mysteriously sitting in the middle of the trail... the more superstitious attribute this to an unknown legendary pokemon, who spreads the Stones all around as gifts to those who make a pilgrimage up the mountain."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4skq"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""7bfo7"",""text"":""About 10 years ago the Rhymica Council granted the land rights to Ironwood Labs in the name of science. They set up a Science Lab, run by Prof Arthur Tinn that studies Stones, as well as refine and export them. "",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""di9hh"",""text"":""It is widly known that since Vox Industries arrived in the region they have been trying to buy the rights to the mining operation to expand their enterprise in Rhymica."",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""91ifd"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4cg3v"",""text"":"""",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
